Run,Time_h,pH,Release_percent,PI3K,AKT1,TGFbeta,Caspase3,Caspase9,FGF2,P53
1,12,5.4,80.713,0.551,0.512,0.473,3.547,3.241,0.4228,2.811
2,12,5.4,77.18138,0.532,0.498,0.461,3.521,3.21,0.4231,2.814
3,12,5.4,84.501,0.510,0.487,0.459,3.516,3.197,0.423,2.809
4,12,6.5,64.127,0.417,0.608,0.752,2.809,2.498,0.738,2.038
5,12,6.5,61.27561,0.432,0.625,0.743,2.84,2.54,0.741,2.04
6,12,6.5,62.749,0.453,0.613,0.761,2.837,2.513,0.740,2.041
7,12,7.4,53.543,0.791,0.975,0.846,1.215,1.317,0.819,1.852
8,12,7.4,51.84636,0.814,0.989,0.864,1.24,1.32,0.822,1.85
9,12,7.4,57.146,0.824,0.991,0.873,1.247,1.319,0.824,1.848
10,24,5.4,82.940,0.611,0.557,0.528,3.331,3.014,0.470,3.041
11,24,5.4,79.53214,0.592,0.539,0.568,3.342,2.98,0.472,3.04
12,24,5.4,77.894,0.584,0.516,0.571,3.348,2.976,0.469,3.043
13,24,6.5,60.471,0.607,0.708,0.698,2.442,2.297,0.749,2.647
14,24,6.5,62.2341,0.621,0.725,0.687,2.454,2.31,0.751,2.65
15,24,6.5,64.358,0.598,0.735,0.683,2.426,2.307,0.753,2.651
16,24,7.4,57.162,0.861,0.881,0.869,2.07,1.978,0.908,1.453
17,24,7.4,58.0141,0.825,0.895,0.867,2.04,1.98,0.902,1.45
18,24,7.4,54.20,0.854,0.934,0.873,2.06,1.981,0.911,1.451
19,36,5.4,70.750,0.801,0.667,0.815,2.807,2.697,0.647,1.979
20,36,5.4,69.221,0.787,0.698,0.823,2.851,2.71,0.645,1.98
21,36,5.4,71.532,0.794,0.684,0.809,2.846,2.714,0.642,1.981
22,36,6.5,55.341,0.881,0.893,0.759,2.042,1.786,0.837,1.743
23,36,6.5,54.367,0.854,0.902,0.783,2.04,1.78,0.841,1.74
24,36,6.5,52.014,0.873,0.925,0.794,2.038,1.779,0.839,1.739
25,36,7.4,57.321,0.853,0.892,0.861,1.913,1.427,0.867,1.518
26,36,7.4,55.657,0.879,0.867,0.821,1.89,1.43,0.864,1.52
27,36,7.4,54.801,0.917,0.851,0.816,1.919,1.429,0.865,1.519
